a,Å
a,ā
a,á
a,ǎ
a,à
a,あ
a,ア
ac,苡
ai,Å
alph,α
alph,Α
alpha,α
alpha,Α
ang,Å
appr,≈
approx,≈
ba,ば
ba,バ
be,べ
be,ベ
bec,∵
because,∵
beta,β
beta,Β
bi,び
bi,ビ
bo,ぼ
bo,ボ
bu,ぶ
bu,ブ
cap,∩
chi,χ
chi,Χ
chi,ち
chi,チ
cup,∪
da,だ
da,ダ
date,#$year年$month月$day日
de,で
de,デ
deg,°
degree,°
delta,δ
delta,Δ
di,ぢ
di,ヂ
do,ど
do,ド
du,づ
du,ヅ
e,ē
e,é
e,ě
e,è
e,え
e,エ
epsi,ε
epsi,Ε
epsilon,ε
epsilon,Ε
eta,η
eta,Η
exi,∃
exists,∃
for,∀
forall,∀
fu,ふ
fu,フ
ga,が
ga,ガ
gamm,γ
gamm,Γ
gamma,γ
gamma,Γ
ge,げ
ge,ゲ
geq,≥
gets,←
gi,ぎ
gi,ギ
go,ご
go,ゴ
gu,ぐ
gu,グ
ha,は
ha,ハ
he,へ
he,ヘ
hi,ひ
hi,ヒ
ho,ほ
ho,ホ
hu,ふ
hu,フ
i,ī
i,í
i,ǐ
i,ì
i,い
i,イ
ic,泤
iff,⟺
impl,⟹
impl,⟸
impliedby,⟸
implies,⟹
in,∈
inf,∞
infty,∞
jfuj,#$fullhour:$minute:$second
jfuj,#$year年$month月$day日$fullhour:$minute:$second
jfuj,#$year年$month月$day日
ji,じ
ji,ジ
ji,ぢ
ji,ヂ
jjad,#$year年$month月$day日
ka,か
ka,カ
kapp,κ
kapp,Κ
kappa,κ
kappa,Κ
ke,け
ke,ケ
ki,き
ki,キ
ko,こ
ko,コ
ku,く
ku,ク
lamb,λ
lamb,Λ
lambda,λ
lambda,Λ
leq,≤
long,⟸
long,⟹
long,⟺
longleftarrow,⟸
longleftrightarrow,⟺
longrightarrow,⟹
lota,ι
lota,Ι
ma,ま
ma,マ
me,め
me,メ
mi,み
mi,ミ
mo,も
mo,モ
mp,∓
mu,μ
mu,Μ
mu,む
mu,ム
n,ん
n,ン
na,な
na,ナ
nab,∇
nabla,∇
ne,ね
ne,ネ
neg,¬
neq,≠
ni,に
ni,ニ
nin,∉
no,の
no,ノ
notin,∉
nu,ν
nu,Ν
nu,ぬ
nu,ヌ
o,ō
o,ó
o,ǒ
o,ò
o,お
o,オ
o,ヲ
o,を
omeg,ω
omeg,Ω
omega,ω
omega,Ω
omic,ο
omic,Ο
omicron,ο
omicron,Ο
otim,⊗
otimes,⊗
pa,ぱ
pa,パ
para,∥
parallel,∥
part,∂
partial,∂
pe,ぺ
pe,ペ
perp,⊥
phi,φ
phi,Φ
pi,π
pi,Π
pi,ぴ
pi,ピ
pm,±
po,ぽ
po,ポ
prop,∝
propto,∝
psi,ψ
psi,Ψ
pu,ぷ
pu,プ
ra,ら
ra,ラ
rc,拟
re,れ
re,レ
rho,ρ
rho,Ρ
ri,り
ri,リ
ro,ろ
ro,ロ
ru,る
ru,ル
sa,さ
sa,サ
se,せ
se,セ
shi,し
shi,シ
si,し
si,シ
sigm,σ
sigm,Σ
sigma,σ
sigma,Σ
sk,🉑
so,そ
so,ソ
su,す
su,ス
ta,た
ta,タ
tau,τ
tau,Τ
tc,笖
te,て
te,テ
the,∴
ther,∴
there,∴
therefore,∴
thet,θ
thet,Θ
theta,θ
theta,Θ
ti,ち
ti,チ
time,×
time,#$fullhour:$minute:$second
time,#$year年$month月$day日$fullhour:$minute:$second
time,#$year年$month月$day日
times,×
to,→
to,と
to,ト
tsu,つ
tsu,ツ
tu,つ
tu,ツ
u,ū
u,ú
u,ǔ
u,ù
u,う
u,ウ
ub,疗
upsi,υ
upsi,Υ
upsilon,υ
upsilon,Υ
v,ü
v,ǖ
v,ǘ
v,ǚ
v,ǜ
vc,姒
vee,∨
wa,わ
wa,ワ
wc,似
wctu,似乎
wedg,∧
wedge,∧
wo,を
wo,ヲ
xi,ξ
xi,Ξ
ya,や
ya,ヤ
yo,よ
yo,ヨ
yu,ゆ
yu,ユ
za,ざ
za,ザ
ze,ぜ
ze,ゼ
zeta,ζ
zeta,Ζ
zi,じ
zi,ジ
zo,ぞ
zo,ゾ
zu,ず
zu,ズ
zu,づ
zu,ヅ
